"# 文本key","文本value"
"Keyword_123","<TipGreen>「Flower Transposition」</> <TipGray>Move absorbed:</>"
"Keyword_123_0","<TipGreen>「Flower Transposition」</> <TipGray>Absorbs the first {0} Moves delivered by opponent this turn.</>"
"Keyword_123_extra","\\n<TipGray>When removed by Stars and Moon, deliver the Moves absorbed by Flower Transposition.</>\\n<TipGray>When removed by Illuminating, increases Move DMG by {0}% per stack.</>\\n<TipGray>When removed by Moon Embracer, restores {1}% of lost Vigor per stack.</>"
"Keyword_124","<TipGreen>「Gang Qi」</> <TipGray>Currently possess</> <Red>{0}</> <TipGray>Gang Qi</>"
"Keyword_125","<TipGreen>「Shackled」</> <TipGray>Incarcerated by Heavenly Shackles. Cannot take any action. </>"
"Keyword_126","<TipGreen>「Seeking a child」</> <TipGray>The City Guardian appears! It seems that you can now give birth to new life! </>"
"Keyword_127","<TipGreen>「Incomplete person」</> <TipGray>The person who has lost his precious treasure is an incomplete person, and the incomplete person can join the Great Inner guard and learn the imperfect day</>"
"Keyword_128","<TipGreen>「Perform official duties」</> <TipGray>Malicious acts against wanted characters will not cause other characters to have a negative attitude towards you, the general flag and above the great guard to use the post does not cost money, the town governor and above the great guard can use the post at any place, the original inaccessible door can be kicked open with your foot</>"
"Keyword_129","<TipGreen>「Imperial charter」</> <TipGray>The Imperial privilege reaches the</> <Red>3</> <TipGray>layer，The junior guard can be moved</>"
"Keyword_130","<TipGreen>「Kill the lock hand」</> <TipGray>Randomly lock the target's hand. Speed decreases</> <Red>10%</> <TipGray>，Reduce the number of palm, fist, weapon and secret weapon moves in its move library</> <Red>50%</>\\n<TipGray>No stunts can be used when the target's limbs are locked</>"
"Keyword_131","<TipGreen>「Death lock · foot」</> <TipGray>Randomly lock the target's feet, reducing speed</> <Red>10%</> <TipGray>，Reduced the number of leg moves in their library</> <Red>50%</>\\n<TipGray>No stunts can be used when the target's limbs are locked</>"
"Keyword_132","<TipGreen>「Divide the soul」</> <TipGray>Double the need for release of unique learning</>"
"Keyword_133","<TipGreen>「Overlord refining」</> <TipGray>get</> <Red>300</> <TipGray>Point qi effect</>"
"Keyword_134","<TipGreen>「Uranus」</> <TipGray>During the period of state, even if the conditions of unauthorized use of the use of unauthorized use, you can also use unique studies.</> <Red>50%</> <TipGray>，But will get</> <Red>20</> <TipGray>flashing and hidden illness</>"
"Keyword_135","<TipGreen>「Broad daylight」</> <TipGray>Movement speed increases</> <Red>20%</>"
"Keyword_136","<TipGreen>「The wanted」</> <TipGray>You are being wanted by the big guard</>\\n<TipGray>Wanted level</><Red> 1 </><TipGray>：After being caught, it will be fined</> <Red>1000</> <TipGray>Copper or detained</> <Red>1</> <TipGray>day</>\\n<TipGray>Wanted level</><Red> 2 </><TipGray>：After being caught, it will be fined</> <Red>3000</> <TipGray>Copper or detained</> <Red>3</> <TipGray>day</>\\n<TipGray>Wanted level</><Red> 3 </><TipGray>：After being caught, it will be detained</> <Red>5</> <TipGray>day</>\\n<TipGray>Wanted level</><Red> 4 </><TipGray>：After being caught, it will be detained</> <Red>8</> <TipGray>day，And pierce the pipa bone</>\\n<TipGray>Wanted level</><Red> 5 </><TipGray>：After being caught, you will be pierced to pipa bone and wait for a little hour to decapitrate</>"
"Keyword_137","<TipGreen>「Ping the pipa bone」</> <TipGray>Your pipa bone is pierced and cannot be used for learning and internal skills.</>"
"Keyword_138","<TipGreen>「Be imprisoned」</> <TipGray>It is being imprisoned, and it will be released after the state is over</>"
"Keyword_139","<TipGreen>「Waiting to be killed」</> <TipGray>At the end of the state will be beheaded</>"
"Keyword_140","<TipGreen>「Murderous look」</> <TipGray>The per capita around you can feel the gloomy breath on his body. In the face of the timid and cowardly people, when fighting,Increase</> <Red>20%</> <TipGray>saliva</>"
"Keyword_141","<TipGreen>「Break the intestines」</> <TipGray>Increase every day</> <Red>1</> <TipGray>layer，most</> <Red>4</> <TipGray>layer，When adding, toxic and hidden diseases will be produced, it cannot be treated, and the burning itself exceeds</> <Red>30</><TipGray> layer，There is a chance to remove the status of meditation, and activation of Xuanhuo robbery can increase the probability of clearing</>"
"Keyword_142","<TipGreen>「Broken tendon cartilage」</> <TipGray>Increased damage</> <Red>100%</> <TipGray>，Can't be treated, jump into the water to slowly remove the state, or use the removal cream to clear the state</>"
"Keyword_143","<TipGreen>「Death prediction」</> <TipGray>A preview of death was issued by the black bird, and those who were prone to bad reputation were attacked. The mood continued to decrease. Those who killed the death preview can get blood money and murderousness (the lower the mood when the kill, the more rewards were obtained)</>"
"Keyword_144","<TipGreen>「Disguise」</> <TipGray>Change of appearance has become{0}</>"
"Keyword_145","<TipGreen>「Assassination Order」</> <TipGray>You have taken the blood list and it needs to be done within 10 days,Kill{0}</>"
"Keyword_146","<TipGreen>「Assassination Order」</> <TipGray>You have killed {0}. Go to a high place at night to use the blood colored cloth strip and summon the contact person to collect the reward</>"
"Keyword_147","<TipGreen>「Breaking Breath and Breaking Meridian」</> <TipGray>Randomly disable a normal acupoint for players; For NPC, disable 1 random internal skill when it is greater than or equal to 3 layers, disable 2 random internal skills when it is 6 layers, and disable all internal skills when it is greater than or equal to 15 layers</>"
"Keyword_200","<TipGreen>「Changeable Move」</> <TipGray>When connected to Changeable Move,you’re able to change </> <Red>1</> <TipGray> Move on the field into Changeable Move</>"
"Keyword_201","<TipGreen>「Omni Move」</> <TipGray>When connected to Omni Move,you’re able to additionally connect to any</> <Red>1</> <TipGray> move combo on the field.</>"
"Keyword_202","<TipGreen>「DEF Move」</> <TipGray>When connected to Defense Move, you're able to copy </><Red>{0}</><TipGray> connected moves to the next turn.</>"
"Keyword_204","<TipGreen>「Void Move」</> <TipGray>Can be used as any Move</>"
"Keyword_mbuff_fire","<TipGreen>「Inflicts Heat」</> <TipGray>Inflicts</> <Red>1</> <TipGray>stack of Heat on opponent</>"
"Keyword_mbuff_ice","<TipGreen>「Inflicts Cold」</> <TipGray>Inflicts</> <Red>1</> <TipGray>stack of Cold on opponent</>"
"Keyword_mbuff_poison","<TipGreen>「Inflicts Poison Gas」</> <TipGray>Inflicts</> <Red>1</> <TipGray>stack of Poison Gas on opponent</>"
"Keyword_mbuff_drunk","<TipGreen>「Inflicts Drunk」</> <TipGray>Inflicts</> <Red>1</> <TipGray>stack of Drunk on opponent</>"
"Keyword_mbuff_fake","<TipGreen>「Current Effect」</> <TipGray>Changes next connected Move into {0}</>"
"Keyword_mbuff_flaws","<TipRed>「Flaw」</> <TipGray>The move has been broken,unable to cause DMG</>"
"Keyword_mbuff_crt","<TipGreen>「Crit」</> <TipGray>Deals</> <Red>Double</> <TipGray>DMG</>"
"Keyword_300","<TipGreen>「Chest」</> <TipGray>Is there a Chest?</>"
"Keyword_301","<TipGreen>「My Home」</> <TipGray>{0}</>"
"Keyword_302","<TipGreen>「{0} Hall」</> <TipGray>{1}</>"
"Keyword_303","<TipGreen>「{0}’s {1}」</> <TipGray>{2}</>"
"Keyword_304","<TipGreen>「{0}」</> <TipGray>{1}</>"
"Keyword_306","<TipGreen>「{0}」</><TipGray> Station</>\\n<TipGray>Travel allowance: {1} coins</>"
"Keyword_307","<TipGreen>Temporary Cargo Ship</>"
"Keyword_308","<TipGreen>{0}</>"
"Keyword_999","<TipGreen>「Test State」</> <TipGray>Increases MSPD by</> <Red>200%</>"
"Keyword_500","<TipGreen>「{0}’s Home」</> <TipGray>{1}</>"
"Keyword_600","<Yellow>How to acquire:Sneak</>"
"Keyword_601","<Yellow>How to acquire:Use 「Astringent」</>"
"Keyword_602","<Yellow>How to acquire:Defeat Snake</>"
"Keyword_603","<Yellow>How to acquire:Defeat Monkey</>"
"Keyword_604","<Yellow>How to acquire:Defeat Horse</>"
"Keyword_605","<Yellow>How to acquire:Defeat Eagle</>"
"Keyword_606","<Yellow>How to acquire:Defeat Marten</>"
"Keyword_607","<Yellow>How to acquire:Take DMG</>"
"Keyword_608","<Yellow>How to acquire:Connect Meridians to Inner Elixir Field</>"
"Keyword_609","<Yellow>How to acquire: Learn from an NPC (faster with an Instructor NPC)</>"
"Keyword_700","<ZQ_XuanYin>「Chi of the Moon」 Bonus</>\\n{0}"
"Keyword_701","<ZQ_ChunYang>「Chi of the Sun」 Bonus</>\\n{0}"
"Keyword_702","<ZQ_DuSha>「Chi of Venom」 Bonus</>\\n{0}"
"Keyword_703","<ZQ_HunYuan>「Chi of Harmony」 Bonus</>\\n{0}"
"Keyword_800","<Yellow>{1}</> <TipGray>Kungfu Insight required</>\\n<TipGray>to advance to </><Yellow>「{0}」</>"
"Keyword_800_1","<TipGray>Reached </><Yellow>「{0}」</>"
"Keyword_801_1","<Yellow>Sword skills</>"
"Keyword_801_2","<Yellow>The secret skill of long-soldiers</>"
"Keyword_801_3","<Yellow>Knife skills</>"
"Keyword_801_4","<Yellow>Secret martial arts skills</>"
"Skill_Name_40000","Palm"
"Skill_Name_40001","Fist"
"Skill_Name_40002","Kick"
"Skill_Name_40003","Weapon"
"Skill_Name_40004","Concealed Weapon"
"Skill_Name_40005","Void Move"
"Skill_Name_40006","Changeable Move"
"Skill_Name_40007","Omni Move"
"Skill_Name_40008","DEF Move"
"Skill_Name_42024","Tortoise Fist"
"Skill_Name_42100","Arctic Palm"
"Skill_Name_42101","Vicious Hand"
"Skill_Name_42102","Flame Saber"
"Skill_Name_42103","Wine-drinking Song"
"Skill_Name_42104","Misfortune:Absorb"
"Skill_Name_42105","Toxin-casting Spell"
"Skill_Name_42106","Art of Transformation"
"Skill_Name_42107","Frost Sword"
"Skill_Name_42108","Snowslide Sword"
"Skill_Name_42109","Misfortune:Burst"
"Skill_Name_42110","Misfortune:Adversity Within Fortune"
"Skill_Name_42111","Drunk Fist:Fake Move"
"Skill_Name_42112","Drunk Fist:Chase Strike"
"Skill_Name_42113","Flame Saber:Break"
"Skill_Name_42114","Flame Saber:Slay"
"Skill_Name_42115","Hands of Artistry"
"Skill_Name_42116","Courteous Before Crude"
"Skill_Name_42117","Art of Rejuvenation"
"Skill_Name_42118","Sky-Heating Saber"
"Skill_Name_42119","Dragon’s Vitality"
"Skill_Name_42120","Beast Wave"
"Skill_Name_42121","Drink and Sing"
"Skill_Name_42122","Hands of Theft"
"Skill_Name_42123","Flower Rain"
"Skill_Name_42124","Ordeal Sigil"
"Skill_Name_42125","Causal Palm"
"Skill_Name_42126","Acupoint-blocking Hand"
"Skill_Name_42127","Soultaker’s Song"
"Skill_Name_42128","Imperfect Kick"
"Skill_Name_42129","Bionic:Snake"
"Skill_Name_42130","Snow Reversal Sword"
"Skill_Name_42131","Snow-melting Sword"
"Skill_Name_42132","Spider Hand"
"Skill_Name_42133","Drink to The End"
"Skill_Name_42134","Drink and Dream"
"Skill_Name_42135","Illusionary Song"
"Skill_Name_42136","Nirvana Saber"
"Skill_Name_42137","Hurl The World"
"Skill_Name_42138","Toxin-swallowing Spell"
"Skill_Name_42139","Eight Divine Strikes"
"Skill_Name_42140","Golden Shield"
"Skill_Name_42141","Bionic:Monkey"
"Skill_Name_42142","Bionic:Horse"
"Skill_Name_42143","Bionic:Eagle"
"Skill_Name_42144","Bionic:Marten"
"Skill_Name_42145","Extermination"
"Skill_Name_42146","Wave Palm"
"Skill_Name_42147","Walk Above Grass"
"Skill_Name_42200","Blood Refining"
"Skill_Name_42201","Armor Boxing"
"Skill_Name_42202","Extreme Break Fist"
"Skill_Name_42203","Halberd Breaking"
"Skill_Name_42210","Dragon Hunting Hand"
"Skill_Name_42211","Arhat Fist"
"Skill_Name_42212","Transformations Leg"
"Skill_Name_42213","Blossom Flicking"
"Skill_Name_42214","Vajra Staff"
"Skill_Name_42215","Demon Slayer Staff"
"Skill_Name_42220","Ground Pounding Fist"
"Skill_Name_42221","Toe Stomping"
"Skill_Name_42222","Tiger Hunting Palm"
"Skill_Name_42223","Beating Dog"
"Skill_Name_42224","Throwing Stone"
"Skill_Name_42225","Sky Eating Palm"
"Skill_Name_42230","Tai Chi Stand"
"Skill_Name_42231","Tai Chi Fist"
"Skill_Name_42232","Grasping Tail"
"Skill_Name_42233","Yin Yang Sword"
"Skill_Name_42234","Taiyi Xuanmen Sword"
"Skill_Name_42240","Star Transfers"
"Skill_Name_42241","Flower Transposition"
"Skill_Name_42242","Stars and Moon"
"Skill_Name_42243","Illuminating"
"Skill_Name_42244","Moon Embracer"
"Skill_Name_42250","Falling Edge"
"Skill_Name_42251","Divine Edge"
"Skill_Name_42252","Undefeated Sword"
"Skill_Name_42253","Seeking Edge"
"Skill_Name_42254","Bladeless"
"Skill_Name_42260","Repulse"
"Skill_Name_42261","Banish"
"Skill_Name_42262","Demolish"
"Skill_Name_42263","Zenith"
"Skill_Name_42264","Annihilate"
"Skill_Name_42300","Skybound Well"
"Skill_Name_42301","Solar Devour"
"Skill_Name_42302","Soaring Dragon"
"Skill_Name_42303","Inferno Blaze"
"Skill_Name_42304","Fleeting Fist"
"Skill_Name_42305","Lunar Howl"
"Skill_Name_42306","Dawn Herald"
"Skill_Name_42307","Wild Stampede"
"Skill_Name_43000","Face Slap"
"Skill_Name_43001","Groin Kick"
"bd_name_1","Icy School"
"bd_name_2","Flame School"
"bd_name_3","Poison Gas School"
"bd_name_4","Drunk School"
"bd_name_5","Misfortune School"
"bd_name_6","Concealed Weapon School"
"bd_name_7","Beast School"
"bd_name_8","Toxin School"
"bd_name_9","Beggar School"
"bd_name_10","Counter School"
"bd_name_11","Shaolin School"
"bd_name_12","Void School"
"bd_name_13","Transposition School"
"bd_name_14","Wu Dang School"
"bd_name_99999","Cultivation School"
"buff_name_160000","Death"
"buff_name_160001","Grave Injury"
"buff_name_160004","Sneak"
"buff_name_160008","Hide"
"buff_name_160009","Guard Building"
"buff_name_160013","Monk"
"buff_name_160100","Loser’s Savior"
"buff_name_160102","Regenerate Blood"
"buff_name_160104","Spike"
"buff_name_160105","Golden Shield"
"buff_name_160106","Revitalize"
"buff_name_160107","Graft"
"buff_name_160108","Brightsight"
"buff_name_160109","Valve:Inflate"
"buff_name_160110","Valve:Deflate"
"buff_name_160111","Soar"
"buff_name_160112","Wisdom"
"buff_name_160113","Freezeproof"
"buff_name_160114","Fireproof"
"buff_name_160115","Steadfast"
"buff_name_160116","Might"
"buff_name_160117","Gale"
"buff_name_160118","Vajra"
"buff_name_160119","Star Transfers"
"buff_name_160120","Flower Transposition"
"buff_name_160122","Gang qi"
"buff_name_160123","Anti-vibration"
"buff_name_160505","Blind"
"buff_name_160509","Hand Disability"
"buff_name_160510","Leg Disability"
"buff_name_161000","Poison Gas"
"buff_name_162000","Cold"
"buff_name_163000","Heat"
"buff_name_164000","Drunk"
"buff_name_165000","Misfortune"
"buff_name_166000","Lampworm"
"buff_name_167000","Bloodworm"
"buff_name_168000","Loveworm"
"buff_name_169000","Worm Cultivating"
"buff_name_161100","Faint"
"buff_name_161101","Pass Out Drunk"
"buff_name_161102","Ordeal Sigil"
"buff_name_161103","Acupoint Block"
"buff_name_161104","Burn"
"buff_name_161105","Frozen"
"buff_name_161106","Cold-blooded"
"buff_name_161107","Dysentery"
"buff_name_161108","Shattered Spirits"
"buff_name_161109","Heartbroken"
"buff_name_161110","Fragmented tendon cartilage"
"buff_name_161111","Yi Rong"
"buff_name_162100","Misdeed"
"buff_name_162101","Lockpicking"
"buff_name_162102","Stained:Massacre"
"buff_name_162103","ATK"
"buff_name_162104","Poisoning"
"buff_name_162105","Stained:Justice"
"buff_name_162106","Stained:Revenge"
"buff_name_162107","Stained:Sinner"
"buff_name_163100","Blackmailed"
"buff_name_163101","Blackmail Success"
"buff_name_163102","Plead Success"
"buff_name_163103","Target Marked"
"buff_name_164100","Not All"
"buff_name_164101","Feng Gong's Office"
"buff_name_164102","Emperor's right"
"buff_name_164103","Local Lock · Hand"
"buff_name_164104","Liberal Lock · Foot"
"buff_name_164105","Divide the soul"
"buff_name_164106","Overlord Refining"
"buff_name_164107","King of Heaven"
"buff_name_164108","broad daylight"
"buff_name_164109","the wanted"
"buff_name_164110","Pingle Pipa Bone"
"buff_name_164111","Wait for asking"
"buff_name_164112","Imprisoned"
"buff_name_165100","Yi Rong"
"buff_name_165101","Killing Qi"
"buff_name_165102","Heartbroken"
"buff_name_165103","Fragmented tendon cartilage"
"buff_name_165104","Death prediction"
"buff_name_165105","Breaking Breath and Breaking Meridian"
"buff_name_165106","Assassination Order"
"buff_name_169101","Cold Immune"
"buff_name_169102","Heat Immune"
"buff_name_169103","Poison Gas Immune"
"buff_name_169122","Shackled"
"buff_name_161001","Poison Gas"
"buff_name_162001","Cold"
"buff_name_163001","Heat"
"buff_name_168001","Crit"
"no_debuff_desc","Healthy-looking"
"buff_160001_l_1_desc","Gray Face"
"buff_160001_l_2_desc","Hollow Eyes"
"buff_160001_l_3_desc","Dyspnea"
"buff_160001_l_4_desc","Darkened Forehead"
"buff_info_desc_161000","Toxicosis"
"buff_info_desc_161100","Dizzy"
"buff_info_desc_161105","Stiff"
"buff_info_desc_162000","Inner Cold"
"buff_info_desc_163000","Inner Fire"
"buff_info_desc_164000","Sightly Drunk"
"buff_info_desc_160505","Blind"
"buff_info_desc_165000","Bad Luck"
"buff_info_desc_161101","Dead Drunk"
"buff_info_desc_161102","Pain Ordeal"
"buff_info_desc_166000","Toxin Worm"
"buff_info_desc_167000","Toxin Worm"
"buff_info_desc_168000","Toxin Worm"
"buff_info_desc_162100","Thief-like"
"buff_info_desc_162101","Thief-like"
"buff_info_desc_162102","Cruel"
"buff_info_desc_162103","Aggressive"
"burden_desc_low","Swift Step"
"burden_desc_middle","Easy Step"
"burden_desc_high","Hard Step"
"Tips_1","Karma locked!"
"Tips_2","Karma Unlocked:<TipKey>「{0}」</>"
"Tips_3","Insufficient Karma Points. Please don’t select excess Karma."
"Tips_4","Short on cash. Perhaps another day..."
"Tips_5","You and <TipKey>「{0}」</> became brothers! You’ll call each other brother from now on!"
"Tips_6","<TipKey>「{0}」</> received you as disciple and thus became your shifu!"
"Tips_7","Skill <TipKey>「{0}」</> acquired!"
"Tips_8","Shifu has no Skills to teach you!"
"Tips_9","Enter <TipKey>「{0}」</>"
"Tips_10","<TipKey>「{0}」</> doesn't know you and doesn't want to follow."
"Tips_11","Lockpicked!"
"Tips_12","Shifu is feeling tired. Come another day!"
"Tips_13","You already have a shifu. Why do you want to be my disciple?"
"Tips_14","<TipKey>「{0}」</> received you as disciple! But is this all worthy?"
"Tips_15","I’ve acquired this. No need to review!"
"Tips_16","This Karma conflicts with <TipKey>「{0}」</> and cannot be received"
"Tips_17","Exchange Success!"
"Tips_18","Fortune favors the devoted mind. <TipKey>「{0}」</> is coming!"
"Tips_19","Seems the heaven doesn’t respond to you. The weather remains unchanged!"
"Tips_20","<TipKey>「{0}」</> gave you a curio which symbolizes your solid relationship!"
"Tips_21","Out of the guard’s duty,he doesn’t want to follow you!"
"Tips_22","<TipKey>「{0}」</>’s Affinity to you {1}"
"Tips_23","<TipKey>「{0}」</> became your enemy!"
"Tips_24","It ain't over till it's over. Barely pulling through, you restored 50% Vigor with a brief respite."
"Tips_25","You have a new Pigeon Post. Check it out."
"Tips_26","<TipKey>「{0}」</> decided not to surrender but to fight to the death!"
"Tips_27","<TipKey>「{0}」</> showed no fear and decided to fight to the death!"
"Tips_28","<TipKey>「{0}」</> began to follow you!"
"Tips_29","Cannot move or use items!"
"Tips_30","You tried to run but were knocked down to the ground..."
"Tips_31","New <TipKey>Secret Intel</>. Please check it out!"
"Tips_32","You got a <TipKeyYellow>Broken Sword</>..."
"Tips_33","Before the next step,please place Foundations and make sure they’re interconnected"
"Tips_34","Please place Door before the next step"
"Tips_35","Please place Window before the next step"
"Tips_36","Place the required facility <TipKey>{0}</> before the next step."
"Tips_37","The current save is empty"
"Tips_38","There’s already a save"
"Tips_39","Save created"
"Tips_40","Houses created"
"Tips_41","Failed to read house data"
"Tips_42","Confined"
"Tips_43","{0}  removed!"
"Tips_44",""
"Tips_45","A tide surges in your Meridians. Max Chi +5."
"Tips_46","Cleared {0}"
"Tips_47","{0} can’t be changed to hotkey"
"Tips_48","A ripple stirs in your Meridians. Max Chi +3."
"Tips_49","Lockpicking failed"
"Tips_50","Insufficient Energy. Rest and meditate."
"Tips_51","Failed to lock Ability"
"Tips_52","Insufficient Ability"
"Tips_53","Activating a default Karma can’t be canceled"
"Tips_54","Saved"
"Tips_55","Treasure marked on Treasure map (upper left)"
"Tips_56","Resource location marked on Map."
"Tips_57","Cage marked on Map."
"Tips_58","「{0}」 state reached Lv.{1}"
"Tips_59","Kungfu Contest seat marked on Map."
"Tips_60","You didn't steal anything!"
"Tips_61","The nearest {0} has been marked on the map!"
"Tips_62","Sect Hall has been marked on the map!"
"Tips_63",""
"Tips_64","The challenge failed, your reputation has been reduced"
"Tips_65","Location of sect regular meeting marked on Map."
"Tips_66","<TipKey>「{0}」</> doesn’t want to join your sect 「unwilling to betray the original sect」"
"Tips_67","<TipKey>「{0}」</> doesn’t want to join your sect 「due to the relations between you two」"
"Tips_68","<TipKey>「{0}」</> doesn’t want to join your sect 「due to the attitude toward you」"
"Tips_69","<TipKey>「{0}」</> has joined your sect!"
"Tips_70","Time is ripe for your <TipKey>「{0}」</> to step up and shine! </>"
"Tips_71","They're not affected by Poison Gas..."
"Tips_72","Unable to be jointed in this direction. Click new zone to rotate and try again!"
"Tips_73","Land Masses cannot be placed in adjacent zones after they are placed in this orientation. Click new zone to rotate and assemble!"
"Tips_74","Challenge completed!"
"Tips_75","Skill acquired. No need to train again."
"Tips_76","{0}"
"Tips_77","You cooked {0}! !!"
"Tips_78","Inner Kungfu acquired. No need to train again."
"Tips_79","Ability acquired. No need to train again."
"Tips_80","You're healthy. No need to cure the Ailment."
"Tips_81","Cleansed {0} Ailments"
"Tips_82","Target acupoint same as original acupoint!"
"Tips_83","You need better Cooking for this Formula."
"Tips_84","Skill 「{0}」 reached 「{1}」!"
"Tips_85","Surname or First Name cannot be blank."
"Tips_86","Surname or First Name cannot contain special characters or spaces."
"Tips_87","Cleared {0} stacks of 「{1}」"
"Tips_88","Cooking Formula 「{0}」 unlocked"
"Tips_89","All Formulas unlocked for this Recipe!"
"Tips_90","Acquire Score {0}"
"Tips_91","Score learned. No need to study again."
"Tips_92","Mark <TipKey>「{0}」</> Location"
"Tips_93","You and <TipKey> 「{0}」 </> became 「{1}」"
"Tips_94","Quest not edited!"
"Tips_95","No {0}. Unable to Plant."
"Tips_96","You gained Reputation:{0}"
"Tips_97","Gotta hustle up some cash for the road ahead."
"Tips_98_3","No Weapon Equipped"
"Tips_98_4","No Concealed Weapon Equipped"
"Tips_99","Craft conditions not met!"
"Tips_100","{0} doesn’t want to accept your invitation!"
"Tips_101","{0} stopped following you!"
"Tips_102","Smoke unfurls from the chest. You realize it is a trap!"
"Tips_103","You need to be Guru to teach this Skill."
"Tips_104","Unlock conditions not met for this Land Mass. You cannot select it."
"Tips_105","Not enough Kungfu Insight! ! !"
"Tips_106","{0} Bug flew away"
"Tips_107","You've already tamed a horse!"
"Tips_108","<TipKey>「{0}」</> is deprived of the Skill <TipKey>「{1}」</>!"
"Tips_109","You were distracted looking for an out, and your opponent pounced. <TipKey>{0}</> Normal Moves disappeared!"
"Tips_110","Give your Sect a name"
"Tips_111","Sect Name cannot contain special characters or spaces."
"Tips_112","<TipKey>「{0}」</> is already in your sect!"
"Tips_113","No selectable Land Mass!"
"Tips_114","No selectable building!"
"Tips_115","Unlock conditions not met!"
"Tips_116","<TipKey>「{0}」</> joined {1}!"
"Tips_117","<TipKey>「{0}」</> has passed away!"
"Tips_118","The Sect no longer exists!"
"Tips_119","You’re no longer the Master!"
"Tips_120","Kungfu Insight +{0}"
"Tips_121","Your Vigor is low. Restore by sleeping or eating."
"Tips_122","Under development. Stay tuned!"
"Tips_123","You don’t have enough {0} to submit"
"Tips_124","Pet Name cannot be blank."
"Tips_125","Pet Name cannot contain special characters or spaces."
"Tips_126","You refused 「{0}」’s join request!"
"Tips_127","You already have 「{0}」 Quests. You can complete them first."
"Tips_128","They don't even have a dime. You can't demand items."
"Tips_129","You destroyed 「{0}」’s Kungfu 「{1}」!"
"Tips_131","This item cannot be marked. Please find it yourself."
"Tips_132","No gatherable Resource nearby!"
"Tips_133","The input contains censored words!"
"Tips_134","You cannot equip or alter Skills in battle."
"Tips_135","Target outside Skill range."
"Tips_136","The quest already exists."
"Tips_137","You can only claim one book at a time."
"Tips_138","Not yet time to claim."
"Tips_139","Looks like {0} no longer wants to take you to fun activities."
"Tips_140","Not enough Prestige. Come another day!"
"Tips_141","Obtained {1} x{0}!"
"Tips_142","Requires {0}: {1} to train."
"Tips_143","Not in the same Sect!"
"Tips_144","Positive Attitude not met! Requires Positive Attitude: <TipKeyRed>{0}</>"
"Tips_145","Cannot learn. Requires Positive Attitude: <TipKeyRed>{0}</>"
"Tips_146","This Gear cannot be dismantled."
"Tips_147","Cannot be placed here. Try another location."
"Tips_148","<TipKey>「{0}」</> has passed away!"
"Tips_149","You don't have Broken Bowl and cannot beg."
"Tips_150","You don't have a tamed eagle. Cannot use Hawk Eye."
"Tips_151","You don't have a Sect. Cannot invite others to join."
"Tips_152","They don't an Ailment and don't need a cure."
"Tips_153","All seats are taken. Come another day!"
"Tips_154","Their Attitude toward you is too Negative. They want nothing to do with you."
"Tips_155","{0} doesn't have enough coins and cannot make up the difference."
"Tips_156","Cannot Meditate when swimming!"
"Tips_157","You don't have Flint. Cannot ignite!"
"Tips_158","There are crops growing. Cannot recycle!"
"Tips_159","Insufficient Energy. Cannot use Concealed Weapon."
"Tips_160",""
"Tips_161","The auction has ended!"
"Tips_162","You haven't tamed an eagle. Cannot set mark!"
"Tips_163","Cannot build!"
"Tips_164","Cannot practice. Requires Prestige: <TipKeyRed>{0}</>"
"Tips_166","Show mercy. The rematch awaits!"
"Tips_167","Your pet gobbled down its fave treat and got stronger. DMG up."
"Tips_168","No authority. Cannot take post."
"Tips_169","Less than {0} coins. Cannot create Sect."
"Tips_170","Less than {0} coins. Cannot expand Influence."
"Tips_171","There's already a Party Flag on this lot. Cannot create Sect."
"Tips_172","There's already a Party Flag on this lot. Cannot expand Influence."
"Tips_173","Cannot tame special species."
"Tips_174","Cannot tame same pet."
"Tips_175","Requires higher Tame."
"Tips_176","You cannot place a lot here !"
"Tips_177","Not Sneaking. Press ([1=31])"
"Tips_178","<TipKey>「{0}」</> devoured 100 of its fave treats and is totally stuffed. Better feed it again tomorrow."
"Tips_179","Cannot equip unacquired Skills"
"Tips_180","<TipKey>{0}</> is spreading in Meridians! !"
"Tips_181","<TipKey>{0}</> has acquired <TipKey>{1}</>"
"Tips_182","Such egregious betrayal is not condoned. Cannot end a Bloodline relationship!"
"Tips_183","Cannot tame target that hasn't fainted"
"Tips_184","Cannot tame dead target"
"Tips_185","<TipKey>{0}</> nearby decided to help <TipKey>{1}</> and joined the battle"
"Tips_186","Geomancy Lv. too low — stealing valuables beyond your Ability will get you caught!"
"Tips_187","Pigeon Post dispatched to collect intel on life history. Sit tight as the reply is headed your way."
"Tips_188","Gathering intel on life history."
"Tips_189","Merit {0}"
"Tips_190","Please return for worship on {0}{1}"
"Tips_191","Requires activated Inner Kungfu: <TipKey>{0}</>"
"Tips_192","<TipKey>{0}：{1}</>"
"Tips_193","Not enough fertilizer."
"Tips_194","Compiling..."
"Tips_195","Cannot summon when corralled."
"Tips_196","Available after unlocking {0} regions  「Regions Unlocked: {1}」"
"Tips_197","Beast Fence full"
"Tips_198","No water."
"Tips_199","Already watered today"
"Tips_200","Lots can only be placed within {0} x {0} in current version"
"Tips_201","Passage sealed. Use another route."
"Tips_202","Access denied"
"Tips_203","Cultivator imprisoned in this realm. Reset denied."
"Tips_204","Cannot use Smoke Grenade"
"Tips_205","Sect name taken. Pick another name."
"Tips_206","You must meet at least one material requirement to tame the pet."
"Tips_207","Save failed"
